科目,每股净资产(元/股),期末现金及现金等价物余额(元),投资支付的现金(元),构建固定资产、无形资产和其他长期资产支付的现金(元),取得借款收到的现金(元),吸收投资收到的现金(元),销售商品、提供劳务收到的现金(元),资产负债率(%),每股收益-基本(元/股),每股收益-稀释(元/股),销售毛利率(%),筹资活动产生的现金流量净额(元),投资活动产生的现金流量净额(元),经营活动产生的现金流量净额(元),现金及现金等价物净增加额(元),扣除非经常性损益后净利润(元),净利润（不含少数股东损益）(元),销售净利率(%),营业利润(元),研发费用(元),ROE-扣非(),ROE-摊薄(),资产总计(元),负债合计(元),营业总成本(元),营业总收入(元),利润总额(元),股东权益合计（不含少数股东权益）(元),以摊余成本计量的金融资产终止确认收益(元),资产处置收益(元),提取保险责任准备金(元),持续经营净利润(元),信用减值损失(元),保户红利支出(元),终止经营净利润(元),减：利息收入(元),手续费及佣金收入(元),其中：减：非流动资产处置净损失(元),所得税(元),其中：对联营企业和合营企业的投资收益(元),已赚保费(元),利息收入(元),财务费用(元),管理费用(元),减：手续费及佣金支出(元),资产减值损失(元),减：利息支出(元),减：营业外支出(元),减：营业成本(元),销售费用(元),减：营业税金及附加(元),少数股东损益(元),净敞口套期收益(元),扣除非经常性损益后净利润(元),净利润（不含少数股东损益）(元),净利润（含少数股东损益）(元),国际会计准则净利润(元),营业利润(元),营业收入(元),其他业务成本(元),加：其他综合收益(元),其他收益(元),加：公允价值变动净收益(元),加：汇兑净收益(元),加：投资净收益(元),加：营业外收入(元),退保金(元),研发费用(元),分保费用(元),其中：利息费用(元),赔付总支出(元),综合收益总额(元),归属于少数股东的综合收益总额(元),归属于母公司普通股东综合收益总额(元),营业总成本(元),营业总收入(元),利润总额(元),未确认投资损失(元),预提费用(元),应付账款(元),应收账款(元),代理买卖证券款(元),代理承销证券款(元),预收款项(元),应付债券(元),向中央银行借款(元),资本公积(元),股本(元),外币报表折算差额(元),在建工程(元),在建工程合计(元),消耗性生物资产(元),合同资产(元),合同负债(元),债权投资(元),待摊费用(元),递延收益(元),递延收益-非流动负债(元),递延所得税资产(元),递延所得税负债(元),吸收存款及同业存放(元),衍生金融资产(元),衍生金融负债(元),应付股利(元),应收股利(元),应付职工薪酬(元),以摊余成本计量的金融资产(元),以公允价值计量且变动计入其他综合收益的金融资产(元),可供出售的金融资产(元),固定资产(元),固定资产清理(元),固定资产合计(元),卖出回购金融资产款(元),商誉(元),应付手续费及佣金(元),持有至到期投资(元),持有待售的资产(元),持有待售负债(元),应付利息(元),应收利息(元),无形资产(元),存货(元),投资性房地产(元),减：库存股(元),发放贷款及垫款(元),拆入资金(元),拆出资金(元),长期待摊费用(元),长期股权投资(元),长期应收款(元),长期借款(元),长期应付款(元),长期应付款合计(元),长期应付职工薪酬(元),少数股东权益(元),货币资金(元),一年内到期非流动资产(元),一年内到期的非流动负债(元),应付票据(元),应收票据(元),油气资源(元),其他流动资产(元),其他流动负债(元),其他债权投资(元),其他权益工具(元),优先股(元),其他金融类流动资产(元),其他金融类流动负债(元),其他非流动金融资产(元),其他非流动资产(元),其他非流动负债(元),其他应付款(元),其他应付款合计(元),其他应收款(元),其他应收款合计(元),永续债(元),其他综合收益(元),应付分保账款(元),应付票据及应付账款(元),预付款项(元),应收保费(元),生产性生物资源(元),工程物资(元),一般风险准备(元),预计负债(元),应收分保合同准备金(元),应收分保账款(元),开发支出(元),应收票据及应收账款(元),应收款项融资(元),买入返售金融资产(元),使用权资产(元),保险合同准备金(元),结算备付金(元),专项储备(元),专项应付款(元),应付短期债券(元),短期借款(元),盈余公积金(元),应交税费(元),资产总计(元),流动资产合计(元),流动负债合计(元),负债合计(元),负债及股东权益合计(元),非流动资产合计(元),非流动负债合计(元),股东权益合计（不含少数股东权益）(元),股东权益合计（含少数股东权益)(元),交易性金融资产(元),交易性金融负债(元),未确认的投资损失(元),未分配利润(元),期初现金及现金等价物余额(元),期末现金及现金等价物余额(元),投资支付的现金(元),构建固定资产、无形资产和其他长期资产支付的现金(元),支付给职工以及为职工支付的现金(元),支付原保险合同赔付款项的现金(元),分配股利、利润或偿付利息支付的现金(元),购买商品、接受劳务支付的现金(元),偿还债务支付的现金(元),取得借款收到的现金(元),吸收投资收到的现金(元),收回投资收到的现金(元),收到原保险合同保费取得的现金(元),取得投资收益收到的现金(元),销售商品、提供劳务收到的现金(元),支付保单红利的现金(元),汇率变动对现金的影响(元),经营活动现金流入(金融类)(元),经营活动现金流出(金融类)(元),企业自由现金流(FCFF)(元),支付手续费的现金(元),其中：子公司吸收少数股东投资收到的现金(元),其中：子公司支付给少数股东的股利、利润(元),筹资活动产生的现金流量净额(元),投资活动产生的现金流量净额(元),经营活动产生的现金流量净额(元),取得子公司及其他营业单位支付的现金净额(元),收到再保业务现金净额(元),处置固定资产、无形资产和其他长期资产收回的现金净额(元),处置子公司及其他营业单位收到的现金净额(元),现金及现金等价物净增加额(元),客户贷款及垫款净增加额(元),存放央行和同业款项净增加额(元),客户存款和同业存放款项净增加额(元),处置交易性金融资产净增加额(元),向其他金融机构拆入资金净增加额(元),保户储金净增加额(元),收取利息和手续费净增加额(元),向中央银行借款净增加额(元),拆入资金净增加额(元),回购业务资金净增加额(元),支付其他与筹资活动有关的现金(元),支付其他与投资活动有关的现金(元),支付其他与经营活动有关的现金(元),收到其他与筹资活动有关的现金(元),收到其他与投资活动有关的现金(元),收到其他与经营活动有关的现金(元),支付的各项税费(元),发行债券收到的现金(元),收到的税费返还(元),筹资活动现金流入小计(元),投资活动现金流入小计(元),经营活动现金流入小计(元),筹资活动现金流出小计(元),投资活动现金流出小计(元),经营活动现金流出小计(元)
20161231_单季同比,,-1073.11%,-20.02%,452.82%,119.49%,304.46%,202.73%,,,,,-12.08%,-660.29%,-425.08%,-1073.11%,164.12%,156.28%,,178.26%,,,,-100.00%,-100.00%,133.87%,135.67%,162.47%,-100.00%,,,,,,,,,,-69.51%,136.13%,,,,-2285.96%,21.60%,,4.30%,,-82.19%,34.47%,44.36%,69.55%,-775.55%,,64.12%,56.28%,52.47%,,78.26%,35.67%,,6.79%,,,,-279.59%,-62.99%,,,,,,52.26%,-775.55%,56.05%,33.87%,35.67%,62.47%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1173.11%,-120.02%,352.82%,49.07%,,222.45%,-9.30%,487.34%,19.49%,204.46%,-96.98%,,,102.73%,,-240.03%,,,-2483.51%,,52.23%,,-112.08%,-760.29%,-525.08%,,,274.86%,,-1173.11%,,,,,,,,,,,-107.82%,878.21%,-129.35%,,-351.47%,-37.12%,-250.03%,,37.16%,33.40%,-102.00%,116.22%,444.95%,-1021.07%,-1.04%
20161231_单季环比,,59.87%,558.07%,563.66%,67.46%,17610.16%,352.63%,,,,,6.14%,260.32%,-714.77%,59.87%,412.30%,357.28%,,433.42%,,,,-100.00%,-100.00%,318.25%,326.67%,385.31%,-100.00%,,,,,,,,,,245.92%,452.05%,144.76%,,,3.89%,43.94%,,214.03%,,38.88%,257.15%,96.36%,351.47%,112.11%,,312.30%,257.28%,262.30%,,333.42%,226.67%,,-491.81%,,,,1182.27%,-8.98%,,,,,,264.58%,112.11%,259.47%,218.25%,226.67%,285.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-40.13%,458.07%,463.66%,86.00%,,-91.80%,95.28%,-38.56%,-32.54%,17510.16%,-785.91%,,-256.80%,252.63%,,-171.03%,,,-13.14%,,,,-93.86%,160.32%,-814.77%,,,1825.42%,,-40.13%,,,,,,,,,,,-107.99%,56.91%,-87.62%,-200.00%,-145.82%,-165.95%,-112.41%,,112.58%,-18.79%,-107.61%,197.39%,-54.04%,152.66%,40.80%
20151231_累计,4.26,702498119.4,115100000,252115728.5,305961785.9,21000000,3868999486,58.19,0.65,0.64,9.33,195939432.6,-345355334.5,-326656272.8,-477170576.9,389228649.5,425402044.5,23.7,443563764.8,,,15.12,6783116580,3947333682,4000273304,4569247183,492510149.4,2814074093,,,,,,,,,,2263928.72,66399300.95,,,,-1209683.8,308197081.2,,123995262.5,,7563937.16,3486392815,188361808.6,18531282.5,708804,,389228649.5,425402044.5,426110848.5,,443563764.8,4569247183,,1298478.36,,,,-1414851.65,56510321.8,,,,,,427409326.8,708804,426700522.8,4000273304,4569247183,492510149.4,,,1934165441,3051140101,,,383176611.2,,,1044809096,660862570,,162498981.9,162498981.9,,,,,,,59122354.26,67213831.41,,,,,1635509.54,,15769156.3,,,484300000,285687838.6,,285687838.6,,,,,,,2321543.45,1766667,86114475.58,1321652797,5447122.43,,,,,20397153.65,44534472.08,,2152822.11,,,,21708804,702498119.4,,,1132685277,253606661,,6244303.49,200000000,,,,,,,,,24154096.02,28111149.01,207411509.3,209178176.3,,2719796.61,,3066850718,82602545.52,,,,,,,,,3304746762,,,,,,,,,106857900.3,121304979.4,85292970.82,6783116580,5626922704,3886058506,3947333682,6783116580,1156193876,61275176.37,2814074093,2835782897,,,,984377650.6,1179668696,702498119.4,115100000,252115728.5,230575380.3,,34690948.81,3591527632,95513379.47,305961785.9,21000000,100120600,,,3868999486,,-1098402.3,,,-74418780,,21000000,,195939432.6,-345355334.5,-326656272.8,,,735739.42,951331.55,-477170576.9,,,,,,,,,,,818025,100000000,289850541.3,,20052723.04,44483981.69,159959586.8,,31773399.59,326961785.9,121860394,3945256868,131022353.3,467215728.5,4271913140
20151231_同比,,59.55%,265.85%,292.61%,217.67%,124.05%,158.73%,,,,,1127.56%,,-3160.18%,,159.26%,150.17%,,159.10%,,,,39.02%,57.09%,150.31%,149.21%,151.24%,18.91%,,,,,,,,,,1107.58%,56.71%,,,,,37.77%,,16.71%,,2374.85%,52.24%,37.78%,37.34%,458851.05%,,59.26%,50.17%,50.42%,,59.10%,49.21%,,-11.03%,,,,,19.79%,,,,,,50.10%,458851.05%,49.85%,50.31%,49.21%,51.24%,,,22.44%,46.77%,,,176.58%,,,5.15%,0.39%,,507.64%,507.64%,,,,,,,-1.10%,47.01%,,,,,192.94%,,43672.72%,,,847.80%,0.18%,,0.18%,,,,,,,,-82.11%,225.21%,62.81%,-3.87%,,,,,262.09%,,,-12.76%,,,,,-40.45%,,,115.52%,22.31%,,,,,,,,,,,,-33.65%,-23.94%,115.82%,97.38%,,91.36%,,45.68%,67.82%,,,,,,,,,44.55%,,,,,,,,,11.20%,50.00%,15.60%,39.02%,26.94%,58.58%,57.09%,39.02%,158.94%,-1.56%,18.91%,19.83%,,,,55.68%,-6.23%,-40.45%,165.85%,192.61%,33.44%,,-27.90%,77.03%,3.82%,117.67%,24.05%,,,,58.73%,,,,,,,24.05%,,1027.56%,,-3260.18%,,,403.51%,-94.00%,,,,,,,,,,,,,,43.06%,,-6.08%,-15.92%,63.61%,,45.09%,107.61%,226.35%,57.04%,-6.49%,249.83%,70.74%
20151231_环比,,109.06%,18.79%,471.78%,138.66%,200.00%,162.13%,,,,,156.55%,,,,161.68%,162.89%,,159.49%,,,,15.43%,21.21%,181.50%,180.93%,161.42%,7.84%,,,,,,,,,,1298.34%,50.90%,,,,,65.95%,,168.72%,,3730.27%,83.50%,68.90%,121.21%,,,61.68%,62.89%,63.19%,,59.49%,80.93%,,145.55%,,,,-148.51%,107.74%,,,,,,63.36%,,63.06%,81.50%,80.93%,61.42%,,,19.97%,28.92%,,,-27.86%,,,3.73%,0.30%,,271.49%,271.49%,,,,,,,0.73%,28.30%,,,,,,,70457.72%,,,-21.08%,2.63%,,2.63%,,,,,,,,1832.12%,91.24%,20.90%,-1.00%,,,,,219.79%,96.81%,,,,,,107.66%,9.06%,,,60.37%,-4.96%,,-85.00%,,,,,,,,,,-17.46%,-9.02%,-19.17%,-18.51%,,39.47%,,32.28%,-40.90%,,,,,,,,,25.49%,,,,,,,,,-59.48%,50.00%,65.63%,15.43%,17.01%,21.60%,21.21%,15.43%,8.29%,0.70%,7.84%,8.24%,,,,14.39%,,9.06%,-81.21%,371.78%,43.25%,,6.66%,87.76%,29.99%,38.66%,100.00%,345.29%,,,62.13%,,,,,,,100.00%,,56.55%,,,,,22131.14%,-52.43%,,,,,,,,,,,,,1195.46%,-25.09%,,28.78%,-75.16%,5.50%,,34.73%,41.44%,204.21%,52.38%,23.60%,-30.65%,63.53%
20151231_单季,,58336638.31,-497450000,198676824.9,85300905.89,10500000,1482597486,,,,,70780536.54,288294357.5,-303444427.2,58336638.31,148488729.8,164244264.9,,165455373.9,,,,,,1796228496,2043866882,187397060.6,,,,,,,,,,,2102027.65,22398221.05,,,,261449.18,122476015.1,,77851544.13,,7366459.09,1586495619,76841310.81,10154101.2,754574.68,,148488729.8,164244264.9,164998839.6,,165455373.9,2043866882,,769674.39,,,,-4331468.6,29308145.84,,,,,,165768514,754574.68,165013939.3,1796228496,2043866882,187397060.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58336638.31,-497450000,198676824.9,69610475.93,,2166264.88,1678716935,22036079.47,85300905.89,10500000,77636180,,,1482597486,,2706171.49,,,39213490.51,,10500000,,70780536.54,288294357.5,-303444427.2,,,732429.92,-1048668.45,58336638.31,,,,,,,,,,,818025,92280760.85,-97068442.41,,4482001.83,-134630503.6,8342382.2,,8189940.94,95800905.89,81801943.3,1356156923,25020369.35,-206492414.2,1659601350
20151231_单季同比,,17.24%,-1559.60%,553.06%,175.65%,117.46%,120.53%,,,,,259.73%,-800.26%,-85.45%,17.24%,97.49%,103.13%,,103.57%,,,,-100.00%,-100.00%,128.11%,123.03%,104.10%,-100.00%,,,,,,,,,,2163.75%,7.85%,,,,-93.52%,98.15%,,-6.83%,,7549.18%,23.89%,57.62%,48.17%,,,-2.51%,3.13%,3.61%,,3.57%,23.03%,,-11.37%,,,,-72.80%,43.89%,,,,,,3.52%,,3.05%,28.11%,23.03%,4.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-82.76%,-1659.60%,453.06%,18.37%,,-73.74%,114.78%,0.16%,75.65%,17.46%,,,,20.53%,,-134.07%,,,-87.35%,,,,159.73%,-900.26%,-185.45%,,,1524.99%,-106.62%,-82.76%,,,,,,,,,,,,-77387.07%,-497.03%,,-71.61%,887.47%,57.57%,,-6.90%,66.61%,158.26%,10.69%,-17.29%,-405.01%,90.73%
20151231_单季环比,,-16.26%,-118.17%,575.74%,42.65%,100.00%,138.59%,,,,,42.33%,-62.48%,460.50%,-16.26%,173.28%,173.16%,,176.74%,,,,-100.00%,-100.00%,281.86%,275.57%,174.38%,-100.00%,,,,,,,,,,2059.71%,76.91%,,,,-103.14%,89.34%,,629.89%,,7452.32%,195.92%,78.64%,465.14%,-1748.60%,,73.28%,73.16%,74.04%,,76.74%,175.57%,,-974.94%,,,,3451.70%,110.13%,,,,,,75.01%,-1748.60%,74.13%,181.86%,175.57%,74.38%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-116.26%,-218.17%,475.74%,30.53%,,-1190.01%,93.95%,-49.32%,-57.35%,,245.29%,,,38.59%,,105.09%,,,-129.27%,,,,-57.67%,-162.48%,360.50%,,,-103.26%,,-116.26%,,,,,,,,,,,,1273.42%,-135.52%,,473.49%,-300.73%,-58.00%,,-11.80%,-54.49%,10366.90%,18.32%,-42.19%,-144.68%,36.93%
20141231_累计,3.6,1179668696,43294340.12,86162303.36,140562316,16929207.12,2437488543,51.5,0.43,0.43,9.25,17377225.21,-96215992.74,10336629.45,-78430790.54,244403323.5,283286368.6,25.22,278788487.5,,,11.97,4879350944,2512839479,2661290229,3062247399,325658382.6,2366511465,,,,,,,,,,187475.91,42371859.53,,,,-2633603.59,223701025.7,,106244320.2,,305631.54,2290021412,136708779.4,13492615.07,154.44,,244403323.5,283286368.6,283286523.1,,278788487.5,3062247399,,1459441.49,,,,-15924362.35,47175526.6,,,,,,284745964.6,154.44,284745810.1,2661290229,3062247399,325658382.6,,,1579625283,2078829687,,,138541362.8,,,993610311.1,658285000,,26742680.55,26742680.55,,,,,,,59781566.84,45719759.04,,,,,558312.27,,36025.08,,,51097290.12,285164415.4,,285164415.4,,,,,,,,9874236.65,26479388.36,811797074,5666176.71,,,,,5633116.08,,,2467716,,,,,1179668696,,,525548461.9,207352085,,,,,,,,,,,,36402987.88,36961300.15,96104932.95,105979169.6,,1421318.25,,2105173744,49221405.42,,,,,,,,,2286181772,,,,,,,,,96094600,80872456.65,73783163.47,4879350944,4432848117,2450590196,2512839479,4879350944,446502826.3,62249282.84,2366511465,2366511465,,,,632322378.9,1258099487,1179668696,43294340.12,86162303.36,172799593.9,,48114297.91,2028782012,92000000,140562316,16929207.12,,,,2437488543,,-9928652.46,,,-172448142.5,,,,17377225.21,-96215992.74,10336629.45,4100000,,146122.89,15843440.28,-78430790.54,,,,,,,,,,,,,202605071.7,,21351087.57,52907070.63,97771694.89,,21899388.17,157491523.1,37340650.74,2512295002,140114297.9,133556643.5,2501958372
20141231_同比,,93.77%,173.04%,82.72%,200.80%,68.64%,114.60%,,,,,,,3.52%,-44.50%,191.19%,156.48%,,158.57%,,,,24.91%,35.25%,141.21%,144.42%,155.91%,15.54%,,,,,,,,,,54.31%,52.17%,,,,,38.63%,,71.85%,,-40.42%,42.27%,6.38%,16.60%,,,91.19%,56.48%,56.48%,,58.57%,44.42%,,709.83%,,,,-955.78%,40.52%,,,,,,57.13%,,57.13%,41.21%,44.42%,55.91%,,,70.40%,81.95%,,,-41.88%,,,-20.63%,101.16%,,-7.10%,-7.10%,,,,,,,,100.97%,,,,,-64.77%,,-50.95%,,,,5.36%,,5.36%,,,,,,,,31.37%,31.24%,4.13%,,,,,,66.13%,,,,,,,,-6.23%,,,1.85%,-26.81%,,,,,,,,,,,,106.52%,92.39%,165.82%,142.68%,,,,45.89%,331.08%,,,,,,,,,60.34%,,,,,,,,,92.19%,60.31%,99.66%,24.91%,25.98%,37.09%,35.25%,24.91%,15.21%,-11.52%,15.54%,15.54%,,,,51.01%,16.29%,-6.23%,73.04%,-17.28%,27.88%,,131.76%,31.07%,-16.36%,100.80%,-31.36%,,,,14.60%,,-2831.69%,,,-211.29%,,-31.36%,,,,-96.48%,-11.98%,,-71.52%,,-144.50%,,,,,,,,,,,,,18.03%,,-59.40%,-12.99%,53.81%,,-10.89%,66.37%,-29.69%,13.56%,7.15%,-1.19%,30.43%
20141231_环比,,140.22%,379.83%,171.50%,152.79%,211.88%,201.88%,,,,,,,,,265.37%,228.40%,,234.21%,,,,29.92%,57.09%,211.34%,218.58%,223.61%,9.77%,,,,,,,,,,98.14%,96.13%,,,,,38.18%,,368.41%,,46.01%,126.87%,55.43%,103.21%,,,165.37%,128.40%,128.40%,,134.21%,118.58%,,146.92%,,,,,75.98%,,,,,,128.49%,,128.49%,111.34%,118.58%,123.61%,,,86.15%,44.76%,,,9.83%,,,4.93%,0.58%,,-30.89%,-30.89%,,,,,,,,71.79%,,,,,-0.48%,,-49.67%,,,20.46%,8.22%,,8.22%,,,,,,,,-49.22%,6.35%,5.07%,-0.96%,,,,,-54.28%,,,,,,,,40.22%,,,33.80%,61.89%,,,,,,,,,,,,-6.27%,-6.19%,27.23%,11.58%,,,,69.59%,-14.45%,,,,,,,,,46.17%,,,,,,,,,-3.75%,60.31%,502.36%,29.92%,33.09%,61.32%,57.09%,29.92%,5.07%,-22.75%,9.77%,9.77%,,,,25.59%,,40.22%,279.83%,71.50%,51.59%,,20.70%,62.67%,31.43%,52.79%,111.88%,,,,101.88%,,,,,,,111.88%,,,,,,,44.60%,,,,,,,,,,,,,,,13.72%,,283.68%,-20.49%,5.73%,,67.14%,57.51%,559.04%,95.20%,27.53%,102.80%,53.32%
20141231_单季,,338383849.4,31895908.96,35923168.15,48562316,8939207.12,1230068408,,,,,27251308.45,-36024923.91,355101193.4,338383849.4,152305692.9,159256420.6,,159752437.4,,,,,,1402055192,1661294557,180024312.7,,,,,,,,,,,92855.96,20767892.05,,,,4037550.65,61810926.2,,83562565.23,,96303.96,1280602925,48750917.52,6852872.38,,,152305692.9,159256420.6,159256420.6,,159752437.4,1661294557,,868390.53,,,,-15924362.35,20368179.21,,,,,,160124811.1,,160124811.1,1402055192,1661294557,180024312.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338383849.4,31895908.96,35923168.15,58806794.8,,8250214.67,781580518.3,22000000,48562316,8939207.12,,,,1230068408,,-7943728.54,,,309961859,,8939207.12,,27251308.45,-36024923.91,355101193.4,,,45072.89,15843440.28,338383849.4,,,,,,,,,,,,-119400,24448692.75,,15786240.03,-13633896.68,5294537.54,,8797225.69,57501523.12,31674753.2,1225231737,30250214.67,67699677.11,870130543.4
20141231_单季同比,,164.24%,-6782.50%,151.77%,,,113.20%,,,,,-130.06%,-179.46%,171.36%,164.24%,266.29%,233.29%,,231.82%,,,,-100.00%,-100.00%,179.68%,192.49%,235.81%,-100.00%,,,,,,,,,,,157.09%,,,,-186.89%,13.82%,,432.65%,,-5.39%,91.10%,-4.10%,-29.24%,,,166.29%,133.29%,133.29%,,131.82%,92.49%,,35.97%,,,,-955.78%,170.43%,,,,,,132.39%,,132.39%,79.68%,92.49%,135.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.24%,-6882.50%,51.77%,54.19%,,765.89%,-2.80%,10.00%,,,,,,13.20%,,2450.84%,,,110.62%,,,,-230.06%,-279.46%,71.36%,,,1248.14%,,64.24%,,,,,,,,,,,,-338.99%,-56.18%,,-67.10%,-140.69%,-73.92%,,62.00%,,-33.99%,8.86%,44.37%,142.58%,-5.25%
20141231_单季环比,,-907.41%,2795336.62%,210.71%,242.81%,111.88%,252.14%,,,,,388.06%,220.41%,-1396.16%,-907.41%,1282.16%,560.81%,,887.91%,,,,-100.00%,-100.00%,315.79%,353.71%,526.82%,-100.00%,,,,,,,,,,2.31%,259.63%,,,,-15.62%,10.57%,,985.71%,,-50.27%,269.60%,37.38%,415.61%,,,1182.16%,460.81%,460.81%,,787.91%,253.71%,,-4.03%,,,,,24.39%,,,,,,446.46%,,446.46%,215.79%,253.71%,426.82%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1007.41%,2795236.62%,110.71%,76.11%,,752.73%,88.07%,10.00%,142.81%,11.88%,,,,152.14%,,213.36%,,,-473.32%,,,,288.06%,120.41%,-1496.16%,,,-52.08%,,-1007.41%,,,,,,,,,,,,-200.00%,-76.99%,,2059.72%,-125.18%,-65.09%,,196.18%,105.44%,3739.41%,124.83%,44.27%,294.30%,52.55%
